EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
922178,COCHISE CO.,PARADISE,09/09/2020,1800,Flash Flood,,,0,0,0,0,AZ,MST-7,,153150,C,3,TWC,0,0,Fire Department/Rescue,Heavy Rain,,,9,NW,5,SSW,SAN SIMON,09/09/2020,1930,32.0139,-109.3428,32.2042,-109.2765,Thunderstorms produced one to three inches of rain in the northeast part of the Chiricahua Mountains over a 4 hour period.  Flash flooding occurred downstream along East Whitetail Creek which caused the closure of several dirt roads. Riley Road was also closed due to high flow in the San Simon River.,"Isolated to scattered thunderstorms developed and moved southeast across parts of southeast Arizona during the late afternoon and evening hours of September 8th. The strongest storms produced heavy rain and gusty winds across far eastern Pima and western Cochise counties. Flash flooding occurred late in the evening into the very early hours of September 9th. Flash flooding of small streams occurred in the Rincon Mountains causing the closure of roads at lower elevations and also near Saint David where property damage was also reported.  Isolated thunderstorms then redeveloped across portions of eastern Cochise County during the afternoon and early evening of the 9th. Heavy rain fell in the Chiricahua Mountains, which caused flash flooding of small streams and rural roads.",1
923043,COCHISE CO.,WHETSTONE,09/08/2020,2315,Flash Flood,,,0,0,35000,0,AZ,MST-7,,153150,C,3,TWC,0,0,County Official,Heavy Rain,,,7,S,4,WSW,ST DAVID,09/09/2020,100,31.8515,-110.348,31.8822,-110.2815,"Over two inches of rain fell in one hour and nearly three inches in about two hours southwest of Saint David prior to midnight, but flash flooding continued into September 9th. Flash flooding occurred over a small stretch of Highway 90 north of Kartchner Caverns and eastward to the western reaches of Saint David where both Sabin and Patton Roads were closed due to flooding.  Significant sedimentation caused one small stream to widen beyond its normal reaches, flooding several yards and two homes. Route 80 northwest of Saint David was also flooded as the culvert became overwhelmed by sediment and flood waters.","Isolated to scattered thunderstorms developed and moved southeast across parts of southeast Arizona during the late afternoon and evening hours of September 8th. The strongest storms produced heavy rain and gusty winds across far eastern Pima and western Cochise counties. Flash flooding occurred late in the evening into the very early hours of September 9th. Flash flooding of small streams occurred in the Rincon Mountains causing the closure of roads at lower elevations and also near Saint David where property damage was also reported.  Isolated thunderstorms then redeveloped across portions of eastern Cochise County during the afternoon and early evening of the 9th. Heavy rain fell in the Chiricahua Mountains, which caused flash flooding of small streams and rural roads.",2
923044,PIMA CO.,MARSH,09/08/2020,2109,Flash Flood,,,0,0,0,0,AZ,MST-7,,153150,C,19,TWC,0,0,Social Media,Heavy Rain,,,14,NNE,5,SSE,SABINO,09/09/2020,30,32.2098,-110.4834,32.233,-110.7728,Two to five inches of rain fell in the Rincon Mountains in a 2 hour period with at least 4 inches of rainfall in the upper reaches of the Tanque Verde Creek watershed. A four foot rise in Tanque Verde Creek was measured at Chiva Tank and a 2.5 foot rise was measured downstream at Guest Ranch. Over a foot of water flowed across Wentworth Road about 3 hours after the crest at Chiva Tank.,"Isolated to scattered thunderstorms developed and moved southeast across parts of southeast Arizona during the late afternoon and evening hours of September 8th. The strongest storms produced heavy rain and gusty winds across far eastern Pima and western Cochise counties. Flash flooding occurred late in the evening into the very early hours of September 9th. Flash flooding of small streams occurred in the Rincon Mountains causing the closure of roads at lower elevations and also near Saint David where property damage was also reported.  Isolated thunderstorms then redeveloped across portions of eastern Cochise County during the afternoon and early evening of the 9th. Heavy rain fell in the Chiricahua Mountains, which caused flash flooding of small streams and rural roads.",3
912740,MARICOPA CO.,TONOPAH,08/30/2020,2000,Flash Flood,,,0,0,2000,0,AZ,MST-7,,150888,C,13,PSR,0,0,Department of Highways,Heavy Rain,,,12,NNE,10,NNE,TONOPAH,08/30/2020,2315,33.6452,-112.8136,33.6341,-112.8456,"Thunderstorms with heavy rain developed across the central deserts well to the northwest of Phoenix during the evening hours on August 30th. Heavy rain, with peak rain rates in excess of one inch per hour, led to episodes of flash flooding about 12 miles to the northeast of Tonopah. According to data from a Maricopa County Flood Control District rain gage, Jackrabbit Wash crested at the 3.1 foot stage with a flow of 784 cubic feet per second. The resulting flood wave resulted in Wickenburg/Aguila road becoming flooded as 1.5 feet of water flowed through the wash and across the road. The flooding took place at about 2200MST. A flash flood watch was in effect at the time of the flooding. There were no reports of accidents or injury due to the flooded road.","The monsoon high broke down over Arizona late in August with a trough setting up over the southwest U.S. leading to southwest flow over the state. Tropical moisture was able to push up the Gulf of California into Arizona under this setup. This prompted a Flash Flood Watch for the central and southern Arizona deserts for the 29th and 30th. With well above normal moisture levels, training of storms and high rain rates were able to produce flash flooding in the afternoon and evening hours of both days. The highest rainfall totals were in southeast reaches of the Phoenix metro area on the 29th with a cluster of storms and in northwest Maricopa county on the 30th with a nearly stationary line of storms. A few storms on both days also produced damaging winds.",4
912736,MARICOPA CO.,TONOPAH,08/30/2020,1900,Flash Flood,,,0,0,0,0,AZ,MST-7,,150888,C,13,PSR,0,0,Department of Highways,Heavy Rain,,,21,WNW,22,S,GLADDEN,08/30/2020,2315,33.587,-113.28,33.5858,-113.3254,"Thunderstorms with heavy rain developed across the central deserts and well to the northwest of Phoenix during the evening hours on August 30th. Peak rain rates in excess of 1 inch per hour led to flash flooding and one such episode occurred near the Maricopa and La Paz County line. According to the Arizona Department of Highways, flash flooding just east of the county line resulted in the closure of Eagle Eye road from Salome Road to US Highway 60 in Aguila. The road was reported closed as of 2200MST although heavy rain and flooding most likely were occurring earlier than that. There was a flash flood watch in effect at the time of the flash flooding.","The monsoon high broke down over Arizona late in August with a trough setting up over the southwest U.S. leading to southwest flow over the state. Tropical moisture was able to push up the Gulf of California into Arizona under this setup. This prompted a Flash Flood Watch for the central and southern Arizona deserts for the 29th and 30th. With well above normal moisture levels, training of storms and high rain rates were able to produce flash flooding in the afternoon and evening hours of both days. The highest rainfall totals were in southeast reaches of the Phoenix metro area on the 29th with a cluster of storms and in northwest Maricopa county on the 30th with a nearly stationary line of storms. A few storms on both days also produced damaging winds.",5
918475,YAVAPAI CO.,CANYON,08/30/2020,1730,Flash Flood,,,0,0,0,0,AZ,MST-7,,152489,C,25,FGZ,0,0,Official NWS Observations,Heavy Rain,,,1,W,5,E,CORDES,08/30/2020,1830,34.07,-112.16,34.3079,-112.0806,The Agua Fria river gauge at Old Black Canyon rose 1.8 feet.,"A surge of monsoon moisture increased thunderstorms over northern Arizona with heavy rain, flash flooding, and hail.",6
912700,MARICOPA CO.,ESTRELLA,08/30/2020,1530,Flash Flood,,,0,0,30000,0,AZ,MST-7,,150888,C,13,PSR,0,0,Public,Heavy Rain,,,3,SSW,2,NE,SHAWMUT,08/30/2020,1945,32.964,-112.442,33.0127,-112.4787,"Thunderstorms, some with locally heavy rain, developed over the central deserts during the afternoon hours on August 30th. Some of the stronger storms formed to the southwest of Phoenix, producing heavy rain along Highway 238 to the southwest of the town of Mobile. Peak rain rates were in excess of one inch per hour, leading to episodes of flash flooding. According to a social media report from the public, at about 1630MST flash flooding 10 miles southwest of Mobile stranded 3 vehicles in flood waters along Highway 238. At about the same time, the Arizona Department of Transportation reported that flash flooding southwest of Mobile resulted in the closure of State Route 238 between mileposts 25 and 28. There were no reports of accidents or injury due to the flash flooding. A Flash Flood Watch was in effect during the flash flooding episodes.","The monsoon high broke down over Arizona late in August with a trough setting up over the southwest U.S. leading to southwest flow over the state. Tropical moisture was able to push up the Gulf of California into Arizona under this setup. This prompted a Flash Flood Watch for the central and southern Arizona deserts for the 29th and 30th. With well above normal moisture levels, training of storms and high rain rates were able to produce flash flooding in the afternoon and evening hours of both days. The highest rainfall totals were in southeast reaches of the Phoenix metro area on the 29th with a cluster of storms and in northwest Maricopa county on the 30th with a nearly stationary line of storms. A few storms on both days also produced damaging winds.",7
918474,GILA CO.,TONTO BASIN,08/30/2020,200,Flash Flood,,,0,0,0,0,AZ,MST-7,,152489,C,7,FGZ,0,0,Public,Heavy Rain / Burn Area,,,3,NNE,4,NE,TONTO BASIN,08/30/2020,300,33.94,-111.32,33.938,-111.3022,Heavy rain fell over the Bush Fire scar and caused a 3-4 foot flash flood in Slate Creek. The water was black (ash) and muddy.,"A surge of monsoon moisture increased thunderstorms over northern Arizona with heavy rain, flash flooding, and hail.",8
912702,GILA CO.,JAKES CORNER,08/30/2020,15,Flash Flood,,,0,0,0,0,AZ,MST-7,,150888,C,7,PSR,0,0,Utility Company,Heavy Rain / Burn Area,,,2,SSW,2,N,TONTO BASIN,08/30/2020,410,33.9882,-111.3364,33.9293,-111.3483,"Thunderstorms with locally heavy rain developed across the high terrain northeast of Phoenix during the very early morning hours on August 30th. The heavy rain led to flash flooding across portions of the Bush burn scar near the town of Sunflower. As an example of the heavy rain, a rain gage at Mount Ord measured just over one inch during the one hour period ending at 0134MST. According to the local utility company, Salt River Project, at 0140MST flash flooding caused a 3 foot rise along Slate Creek at the US Forest Road number 26 crossing, about 7 miles northeast of Sunflower. A short distance downstream they estimated a 7 foot rise in the creek based on high water marks on the local vegetation. There were no reports of accidents or injury due to the flash flooding.","The monsoon high broke down over Arizona late in August with a trough setting up over the southwest U.S. leading to southwest flow over the state. Tropical moisture was able to push up the Gulf of California into Arizona under this setup. This prompted a Flash Flood Watch for the central and southern Arizona deserts for the 29th and 30th. With well above normal moisture levels, training of storms and high rain rates were able to produce flash flooding in the afternoon and evening hours of both days. The highest rainfall totals were in southeast reaches of the Phoenix metro area on the 29th with a cluster of storms and in northwest Maricopa county on the 30th with a nearly stationary line of storms. A few storms on both days also produced damaging winds.",9
919644,PIMA CO.,MT LEMMON,08/29/2020,1955,Flash Flood,,,0,0,0,0,AZ,MST-7,,152659,C,19,TWC,0,0,Fire Department/Rescue,Heavy Rain / Burn Area,,,7,NW,4,W,MT LEMMON,08/29/2020,2030,32.5113,-110.8709,32.4461,-110.844,An inch of rain fell in less than an hour over the headwaters of the Bighorn Fire burn scar on the Santa Catalina Mountains. An 8 foot rise was noted along the Canada Del Oro Wash  at Rancho Solano upstream in Pinal County . Strong flows continued downstream into Pima County causing water to flow across Edwin Road.  Catalina St. Park Road was also closed due to flows in Sutherland Wash.,Scattered thunderstorms developed and moved northeast across southeast Arizona during the afternoon and evening. One storm produced wind damage at Marana High School and another produced flash flooding over the Bighorn Fire burn scar.,10
